date,description,type,amount,balance,category
01-07-2026,Movie Tickets,DEBIT,150,10086,Entertainment
01-08-2026,Uber Ride,DEBIT,850,12779,Transport
01-08-2026,Salary Credit,CREDIT,13629,13629,Income
02-07-2026,Electricity Bill,DEBIT,1200,8886,Utilities
02-08-2026,Cafe Payment,DEBIT,1200,11579,Food
03-07-2026,Electricity Bill,DEBIT,199,8687,Utilities
03-08-2026,Interest Credit,CREDIT,500,10879,Income
03-08-2026,Electricity Bill,DEBIT,1200,10379,Utilities
04-07-2026,Interest Credit,CREDIT,750,15708,Income
04-07-2026,Salary Credit,CREDIT,14958,14958,Income
05-07-2026,Cashback,CREDIT,100,14608,Income
05-07-2026,Electricity Bill,DEBIT,1200,14508,Utilities
05-08-2026,Swiggy Order,DEBIT,499,10380,Food
06-07-2026,Swiggy Order,DEBIT,150,14458,Food
06-08-2026,Grocery Store,DEBIT,350,10030,Food
07-07-2026,Amazon Purchase,DEBIT,150,14308,Shopping
07-08-2026,Movie Tickets,DEBIT,650,9380,Entertainment
09-07-2026,Refund Flipkart,CREDIT,750,14559,Income
09-07-2026,Electricity Bill,DEBIT,499,13809,Utilities
10-07-2026,Electricity Bill,DEBIT,350,14209,Utilities
11-07-2026,Salary Credit,CREDIT,8004,8004,Income
11-07-2026,Friend Transfer,CREDIT,750,8404,Income
11-07-2026,Movie Tickets,DEBIT,350,7654,Entertainment
14-07-2026,Uber Ride,DEBIT,150,8254,Transport
15-07-2026,Cafe Payment,DEBIT,1200,7054,Food
16-07-2026,Movie Tickets,DEBIT,1200,5854,Entertainment
17-07-2026,Mobile Recharge,DEBIT,850,5004,Utilities
18-07-2026,Uber Ride,DEBIT,199,10057,Transport
18-07-2026,Salary Credit,CREDIT,10256,10256,Income
19-07-2026,Friend Transfer,CREDIT,500,10557,Income
20-06-2026,Salary Credit,CREDIT,12436,12436,Income
21-07-2026,Swiggy Order,DEBIT,1200,9357,Food
22-06-2026,Salary Credit,CREDIT,500,11736,Income
22-06-2026,Amazon Purchase,DEBIT,1200,11236,Shopping
22-07-2026,Salary Credit,CREDIT,500,9857,Income
23-06-2026,Swiggy Order,DEBIT,350,11386,Food
23-07-2026,Electricity Bill,DEBIT,250,9607,Utilities
24-06-2026,Friend Transfer,CREDIT,750,11886,Income
24-06-2026,Cafe Payment,DEBIT,250,11136,Food
25-06-2026,Refund Flipkart,CREDIT,100,11836,Income
25-06-2026,Electricity Bill,DEBIT,150,11736,Utilities
25-07-2026,Salary Credit,CREDIT,14986,14986,Income
25-07-2026,Cafe Payment,DEBIT,150,14836,Food
26-06-2026,Grocery Store,DEBIT,350,11486,Food
27-06-2026,Salary Credit,CREDIT,10784,10784,Income
27-07-2026,Cashback,CREDIT,750,15586,Income
28-06-2026,Grocery Store,DEBIT,199,10585,Food
28-07-2026,Salary Credit,CREDIT,100,15436,Income
28-07-2026,Mobile Recharge,DEBIT,250,15336,Utilities
29-06-2026,Mobile Recharge,DEBIT,199,10386,Utilities
29-07-2026,Uber Ride,DEBIT,199,15237,Transport
30-06-2026,Movie Tickets,DEBIT,150,10236,Entertainment
30-07-2026,Uber Ride,DEBIT,850,14387,Transport
31-07-2026,Cafe Payment,DEBIT,199,14188,Food
